comment_text,sentiment,emotion
Concerned about durability of this Dell mobile design super ah iruku,Negative,fear
Totally in love with this HP laptop display konjam disappointed,Positive,love
Worst experience with this Dell laptop very disappointed,Negative,anger
Very poor build quality from OnePlus mobile seriously impressed,Negative,anger
Very poor build quality from OnePlus TV,Negative,anger
I feel sad about the camera performance of this Lenovo laptop,Negative,sad
Concerned about durability of this OnePlus TV design super ah iruku,Negative,fear
Sound quality of this Apple mobile is not good,Negative,sad
Totally in love with this OnePlus mobile display konjam disappointed,Positive,love
Display clarity of this LG TV is fantastic,Positive,joy
Expected more from this LG mobile but disappointed,Negative,sad
Totally in love with this Lenovo TV display totally worth the price,Positive,love
Build quality feels cheap in this LG mobile long term use la problem varuma nu bayam,Negative,sad
Totally in love with this OnePlus laptop display,Positive,love
"why the hell they keep a shiity selfie camera even in this level of phones. after note 10 pro which was a great balanced respectable phone , these phones beacame a piece of **.",Positive,joy
This OnePlus laptop is my favorite device now,Positive,love
"when you said boring, i just disliked this video.",Neutral,love
This Lenovo TV did not meet my expectations,Negative,sad
Battery drains fast in this LG TV waste of money seriously impressed,Negative,anger
This Dell mobile exceeded my expectations,Positive,joy
I am worried about long term performance of this Dell TV,Negative,fear
Risky purchase decision choosing this LG mobile,Negative,fear
Concerned about durability of this OnePlus TV design super ah iruku not satisfied with this device romba happy with this,Negative,fear
This Lenovo laptop is my favorite device now seriously impressed,Positive,love
Love the premium feel of this Sony mobile design super ah iruku romba happy with this,Positive,love
Very poor build quality from HP TV,Negative,anger
Highly satisfied and love using this LG laptop long term use la problem varuma nu bayam not satisfied with this device,Positive,love
Love the premium feel of this Redmi TV,Positive,love
I absolutely love this Dell mobile design konjam disappointed,Positive,love
Highly satisfied and love using this Apple laptop totally worth the price,Positive,love
Concerned about durability of this OnePlus TV romba happy with this long term use la problem varuma nu bayam battery backup romba nalla iruku,Negative,fear
This Lenovo mobile did not meet my expectations design super ah iruku,Negative,sad
Totally in love with this Apple mobile display,Positive,love
Scared about overheating problem in this Lenovo mobile,Negative,fear
I am really happy with this Samsung mobile camera quality,Positive,joy
i can’t believe we still have to deal with that camera bump/fringe whatever it’s called. apple are no longer innovating battery backup romba nalla iruku,Negative,anger
Very poor build quality from Samsung mobile,Negative,anger
This Dell TV performance is terrible,Negative,anger
I am worried about long term performance of this Dell laptop,Negative,fear
"i’m not buying it. i’m in the uk and i believe this is another cash grab by apple. i would change my mind if the new macbook pros brice was reduced by the cost of the charging brick but, since we already pay £1 per $1 whilst the us dollar is has less worth than the british £ we are already being ripped off. of course i could sell my m4 macbook pro and retain the power brick but this is just passing on the loss so i’m not doing that.",Positive,joy
Highly satisfied and love using this Apple laptop,Positive,love
"m35 vangunga pa ! idhu worst u😅! adhula stereo speaker ,punch jole display ! 600 mah battery ! lyt 600 sensor camera ! nalla look um kedakkum!",Negative,anger
Love the premium feel of this Lenovo mobile not satisfied with this device,Positive,love
Build quality feels cheap in this Samsung laptop,Negative,sad
Risky purchase decision choosing this Lenovo TV,Negative,fear
"7:58 10:10 laggy ui, apdi podu🤙",Negative,anger
This Apple laptop performance is terrible battery backup romba nalla iruku,Negative,anger
Worst experience with this Samsung laptop very disappointed not satisfied with this device,Negative,anger
"ungala naan ennamo nenachen bro , aana neenga oru dubakooru nu proof pannitinga 1. iqoo neo 10r , poco x7 pro, poco f7 pro , mi 14pro+, rm 14pro+ , oppo 13pro all these mobiles are better than samsung a56 and a36 , insense of both price , processor and battery camera 2. a36 mokka mobile , no charger provided , low ip rating 3. battery no s/i tech , poor camera performance ippadi ethuvume illatha mobile ku ivalavu build up thara , kaasu thantha samsung ** kooda thimpiya 😂😂 design super ah iruku romba happy with this",Negative,sad
Risky purchase decision choosing this HP mobile,Negative,fear
keep that are in mind are disadvantage right..,Neutral,sad
Very poor build quality from Samsung laptop camera performance sema,Negative,anger
Risky purchase decision choosing this Dell laptop camera performance sema design super ah iruku,Negative,fear
This Redmi TV is my favorite device now battery backup romba nalla iruku,Positive,love
Heating issue in this LG mobile makes me angry seriously impressed,Negative,anger
6 gen 3 epdi bro 6 major updates ah thangum? summa number ah mattum change panrthellam waste,Negative,sad
Apple mobile performance is amazing and super smooth,Positive,joy
